INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('36172', '14.00'),
('88340', '32.00'),
('83862', '9.00'),
('72441', '36.00'),
('54724', '7.00'),
('36716', '1.00'),
('93189', '17.00'),
('86096', '34.00'),
('55318', '49.00'),
('12012', '27.00'),
('43994', '25.00'),
('26226', '17.00'),
('11027', '12.00'),
('83866', '20.00'),
('37766', '29.00'),
('99685', '20.00'),
('59119', '21.00'),
('72917', '39.00'),
('93835', '46.00'),
('41859', '41.00'),
('67877', '5.00'),
('48190', '50.00'),
('63744', '12.00'),
('63437', '2.00'),
('94942', '33.00'),
('92559', '47.00'),
('96343', '21.00'),
('23825', '33.00'),
('36153', '40.00'),
('44785', '31.00'),
('60096', '10.00'),
('62631', '20.00'),
('17381', '5.00'),
('52294', '35.00'),
('46604', '43.00'),
('48263', '26.00'),
('73960', '26.00'),
('74954', '2.00'),
('55444', '43.00'),
('65126', '26.00'),
('78058', '44.00'),
('65894', '1.00'),
('85211', '43.00'),
('23885', '45.00'),
('58677', '17.00'),
('75859', '44.00'),
('51482', '49.00'),
('97740', '35.00'),
('43565', '4.00'),
('18822', '37.00'),
('91809', '38.00'),
('24765', '46.00'),
('87005', '15.00'),
('37359', '30.00'),
('31841', '18.00'),
('23658', '48.00'),
('85288', '22.00'),
('13698', '25.00'),
('38371', '8.00'),
('47509', '19.00'),
('34205', '40.00'),
('25218', '45.00'),
('76775', '50.00'),
('43698', '31.00'),
('54543', '49.00'),
('94859', '6.00'),
('11366', '37.00'),
('12070', '22.00'),
('56170', '3.00'),
('72871', '13.00'),
('73400', '39.00'),
('48818', '17.00'),
('30517', '9.00'),
('95805', '6.00'),
('90523', '33.00'),
('56051', '21.00'),
('41615', '19.00'),
('49885', '13.00'),
('94005', '49.00'),
('29994', '48.00'),
('25735', '31.00'),
('80347', '12.00'),
('91815', '44.00'),
('29958', '33.00'),
('75474', '23.00'),
('38777', '15.00'),
('31923', '49.00'),
('11368', '6.00'),
('23932', '40.00'),
('30925', '19.00'),
('28997', '14.00'),
('34347', '4.00'),
('91453', '9.00'),
('61317', '15.00'),
('52750', '2.00'),
('90684', '35.00'),
('86512', '26.00'),
('60923', '6.00'),
('80933', '29.00'),
('75477', '37.00'),
('99846', '34.00'),
('62063', '35.00'),
('59438', '22.00'),
('84503', '37.00'),
('39175', '6.00'),
('26262', '21.00'),
('81358', '22.00'),
('28395', '13.00'),
('51618', '22.00'),
('46272', '45.00'),
('36899', '3.00'),
('93541', '30.00'),
('91337', '32.00'),
('10301', '43.00'),
('25510', '44.00'),
('69777', '2.00'),
('47102', '15.00'),
('27160', '25.00'),
('66817', '26.00'),
('68882', '23.00'),
('28456', '4.00'),
('19664', '11.00'),
('15151', '40.00'),
('87615', '36.00'),
('88973', '21.00'),
('21824', '48.00'),
('96294', '6.00'),
('99792', '14.00'),
('94495', '33.00'),
('19174', '44.00'),
('62125', '20.00'),
('43947', '25.00'),
('34610', '25.00'),
('64179', '4.00'),
('23687', '1.00'),
('71939', '35.00'),
('79941', '20.00'),
('62246', '7.00'),
('36304', '20.00'),
('85554', '6.00'),
('72423', '42.00'),
('65090', '49.00'),
('64069', '14.00'),
('41786', '12.00'),
('22311', '21.00'),
('56929', '29.00'),
('58971', '2.00'),
('78546', '15.00'),
('45363', '22.00'),
('89882', '11.00'),
('45875', '3.00'),
('23776', '12.00'),
('83467', '37.00'),
('79232', '22.00'),
('33673', '37.00'),
('47716', '22.00'),
('12112', '34.00'),
('20437', '5.00'),
('30167', '30.00'),
('69531', '5.00'),
('81254', '1.00'),
('48547', '12.00'),
('51976', '46.00'),
('16696', '29.00'),
('48150', '32.00'),
('33131', '29.00'),
('51899', '16.00'),
('45089', '37.00'),
('54169', '7.00'),
('60194', '47.00'),
('85602', '16.00'),
('46461', '50.00'),
('19482', '24.00'),
('94638', '44.00'),
('22492', '20.00'),
('49750', '13.00'),
('90886', '40.00'),
('47907', '22.00'),
('14388', '15.00'),
('35523', '9.00'),
('57640', '38.00'),
('12380', '1.00'),
('79491', '40.00'),
('15949', '25.00'),
('38805', '36.00'),
('27004', '9.00'),
('37352', '21.00'),
('29395', '20.00'),
('30195', '32.00'),
('29218', '21.00'),
('84309', '12.00'),
('25421', '41.00'),
('11352', '40.00'),
('34710', '14.00'),
('81233', '50.00'),
('67814', '42.00'),
('70559', '4.00'),
('10692', '11.00'),
('20264', '37.00'),
('47700', '13.00'),
('16087', '29.00'),
('17014', '36.00'),
('19591', '19.00'),
('70059', '42.00'),
('61040', '4.00'),
('97571', '32.00'),
('53575', '47.00'),
('29159', '10.00'),
('92198', '5.00'),
('16737', '13.00'),
('41590', '28.00'),
('75914', '20.00'),
('93939', '6.00'),
('89742', '44.00'),
('59360', '37.00'),
('55038', '15.00'),
('91517', '23.00'),
('87623', '18.00'),
('53151', '39.00'),
('74074', '1.00'),
('98486', '44.00'),
('68507', '14.00'),
('87717', '11.00'),
('94297', '47.00'),
('80078', '32.00'),
('72104', '17.00'),
('35672', '15.00'),
('25301', '32.00'),
('70831', '1.00'),
('16165', '41.00'),
('84988', '29.00'),
('26917', '3.00'),
('51906', '31.00'),
('46122', '17.00'),
('43432', '1.00'),
('27177', '16.00'),
 ('94399', '37.00'),
('75956', '35.00'),
('65145', '3.00'),
('81627', '27.00'),
('67189', '29.00'),
('90821', '37.00'),
('45662', '28.00'),
('38989', '13.00'),
('81222', '19.00'),
('57189', '31.00'),
('72968', '13.00'),
('72156', '29.00'),
('61084', '15.00'),
('55697', '9.00'),
('38897', '16.00'),
('24731', '41.00'),
('74647', '47.00'),
('85754', '8.00'),
('48531', '40.00'),
('58464', '49.00'),
('43830', '24.00'),
('29352', '8.00'),
('90649', '46.00'),
('30557', '3.00'),
('63137', '46.00'),
('34407', '47.00'),
('35687', '11.00'),
('81381', '29.00'),
('58383', '1.00'),
('36867', '35.00'),
('48695', '41.00'),
('53817', '13.00'),
('27225', '9.00'),
('18051', '44.00'),
('68803', '11.00'),
('73579', '41.00'),
('56766', '9.00'),
('59858', '40.00'),
('57548', '28.00'),
('70238', '36.00'),
('61822', '19.00'),
('16258', '16.00'),
('72591', '28.00'),
('18709', '41.00'),
('83444', '15.00'),
('54595', '18.00'),
('16891', '3.00'),
('61595', '29.00'),
('43131', '45.00'),
('19976', '37.00'),
('59500', '30.00'),
('21896', '14.00'),
('17604', '4.00'),
('33218', '13.00'),
('87996', '2.00'),
('66721', '21.00'),
('73771', '33.00'),
('94204', '36.00'),
('36045', '28.00'),
('94565', '5.00'),
('52736', '42.00'),
('43940', '40.00'),
('95136', '26.00'),
('23310', '18.00'),
('97935', '19.00'),
('97898', '33.00'),
('74312', '15.00'),
('24516', '14.00'),
('76414', '25.00'),
('90879', '14.00'),
('80642', '5.00'),
('27653', '50.00'),
('82264', '13.00'),
('32626', '47.00'),
('43715', '4.00'),
('18703', '33.00'),
('99553', '8.00'),
('79168', '18.00'),
('70235', '10.00'),
('18328', '9.00'),
('90085', '6.00'),
('74863', '36.00'),
('72682', '37.00'),
('76130', '8.00'),
('88231', '17.00'),
('11868', '29.00'),
('90443', '46.00'),
('52612', '44.00'),
('50357', '9.00'),
('17137', '20.00'),
('98199', '50.00'),
('58710', '33.00'),
('21052', '30.00'),
('94385', '30.00'),
('49385', '21.00'),
('93431', '45.00'),
('33073', '31.00'),
('50267', '16.00'),
('83057', '48.00'),
('29413', '44.00'),
('74499', '36.00'),
('36282', '43.00'),
('55801', '27.00'),
('94044', '1.00'),
('95779', '42.00'),
('29940', '19.00'),
('25686', '45.00'),
('79367', '32.00'),
('13752', '30.00'),
('19914', '10.00'),
('17899', '49.00'),
('85388', '32.00'),
('15705', '18.00'),
('60294', '6.00'),
('16995', '38.00'),
('54516', '23.00'),
('99648', '4.00'),
('85252', '24.00'),
('72734', '21.00'),
('20971', '45.00'),
('71614', '48.00'),
('53074', '26.00'),
('47037', '32.00'),
('38424', '22.00'),
('89549', '25.00'),
('77969', '31.00'),
('35777', '1.00'),
('86630', '28.00'),
('18191', '27.00'),
('58860', '9.00'),
('66632', '30.00'),
('90786', '10.00'),
('73469', '50.00'),
('42629', '48.00'),
('23207', '43.00'),
('53380', '38.00'),
('12603', '46.00'),
('24999', '14.00'),
('99930', '28.00'),
('96281', '12.00'),
('80091', '2.00'),
('22499', '24.00'),
('10176', '28.00'),
('44333', '8.00'),
('49924', '40.00'),
('42072', '34.00'),
('63562', '22.00'),
('10451', '28.00'),
('72517', '17.00'),
('21818', '9.00'),
('80373', '50.00'),
('56782', '34.00'),
('57437', '43.00'),
('51066', '47.00'),
('19307', '11.00'),
('29215', '3.00'),
('71726', '40.00'),
('99011', '27.00'),
('28041', '30.00'),
('79299', '50.00'),
('69970', '47.00'),
('84152', '49.00'),
('74867', '26.00'),
('36797', '44.00'),
('30501', '6.00'),
('84210', '29.00'),
('57836', '41.00'),
('50663', '15.00'),
('81491', '44.00'),
('12673', '23.00'),
('44068', '25.00'),
('50483', '44.00'),
('79001', '34.00'),
('17100', '21.00'),
('91067', '41.00'),
('96777', '34.00'),
('70610', '5.00'),
('26309', '24.00'),
('32694', '7.00'),
('63559', '50.00'),
('63613', '14.00'),
('81775', '49.00'),
('34664', '39.00'),
('34544', '25.00'),
('18192', '47.00'),
('22302', '10.00'),
('50329', '48.00'),
('35264', '4.00'),
('76710', '2.00'),
('97249', '11.00'),
('82418', '38.00'),
('85855', '17.00'),
('18370', '25.00'),
('29877', '27.00'),
('40168', '17.00'),
('87685', '32.00'),
('22294', '10.00'),
('91130', '5.00'),
('95790', '26.00'),
('58272', '36.00'),
('10026', '39.00'),
('78421', '24.00'),
('20032', '10.00'),
('88199', '36.00'),
('68670', '6.00'),
('96239', '49.00'),
('62526', '24.00'),
('27357', '41.00'),
('34105', '35.00'),
('69526', '41.00'),
('44121', '4.00'),
('68745', '44.00'),
('43736', '40.00'),
('98451', '7.00'),
('75440', '43.00'),
('86312', '20.00'),
('67703', '9.00'),
('68824', '20.00'),
('37899', '14.00'),
('22517', '9.00'),
('95887', '30.00'),
('95692', '3.00'),
('48620', '24.00'),
('14768', '27.00'),
('84667', '40.00'),
('56478', '22.00'),
('51742', '10.00'),
('41369', '17.00'),
('26914', '20.00'),
('28241', '1.00'),
('52977', '36.00'),
('47242', '28.00'),
('47369', '20.00'),
('16677', '32.00'),
('80021', '20.00'),
('98287', '50.00'),
('11015', '16.00'),
('13211', '47.00'),
('40793', '7.00'),
('98580', '5.00'),
('19051', '48.00'),
('20588', '50.00'),
('26872', '18.00'),
('50712', '4.00'),
('88369', '12.00'),
('21222', '39.00'),
('56816', '12.00'),
('13498', '10.00'),
('37050', '31.00'),
('25259', '34.00'),
('38150', '30.00'),
('20813', '36.00'),
('72902', '10.00'),
('66196', '39.00'),
('11121', '34.00'),
('19549', '39.00'),
('12455', '41.00'),
('42878', '12.00'),
('41965', '4.00'),
('60665', '40.00'),
('71657', '37.00'),
('20187', '26.00'),
('37355', '13.00'),
('21835', '35.00'),
('77412', '5.00'),
('69389', '14.00'),
('41482', '37.00'),
('62598', '30.00'),
('22129', '22.00'),
('34507', '15.00'),
('32255', '24.00'),
('31575', '26.00'),
('60711', '16.00'),
('75681', '33.00'),
('54321', '7.00'),
('30816', '45.00'),
('68273', '21.00'),
('22600', '10.00'),
('17820', '3.00'),
('19894', '27.00'),
('16147', '43.00'),
('67265', '30.00'),
('51539', '45.00'),
('37536', '12.00'),
('40810', '20.00'),
('42701', '27.00'),
('59692', '1.00'),
('88763', '50.00'),
('95005', '34.00'),
('36729', '18.00'),
('14094', '10.00'),
('59704', '8.00'),
('36995', '43.00'),
('54491', '20.00'),
('83943', '14.00'),
('92926', '47.00'),
('80861', '37.00'),
('69847', '4.00'),
('54705', '5.00'),
('46233', '2.00'),
('96878', '13.00'),
('98531', '14.00'),
('22882', '6.00'),
('38472', '5.00'),
('61683', '3.00'),
('89800', '13.00'),
('36832', '30.00'),
('52980', '36.00'),
('33190', '10.00'),
('47732', '4.00'),
('17866', '4.00'),
('24110', '3.00'),
('38473', '12.00'),
('36064', '4.00'),
('79250', '4.00'),
('37077', '23.00'),
('49064', '25.00'),
('73766', '21.00'),
('33163', '15.00'),
('33629', '47.00'),
('32646', '29.00'),
('10967', '19.00'),
('51952', '1.00'),
('29467', '9.00'),
('82454', '36.00'),
('61023', '42.00'),
('47584', '30.00'),
('97244', '27.00'),
('47534', '41.00'),
('55848', '24.00'),
('82132', '7.00'),
('81749', '23.00'),
('15986', '2.00'),
('35866', '1.00'),
('58776', '32.00'),
('19842', '27.00'),
('87369', '5.00'),
('74833', '10.00'),
('44263', '30.00'),
('24121', '37.00'),
('93745', '44.00'),
('88916', '29.00'),
('43035', '3.00'),
('59590', '2.00'),
('58769', '23.00'),
('15512', '41.00'),
('37917', '22.00'),
('30611', '45.00'),
('81241', '1.00'),
('10069', '41.00'),
('66893', '13.00'),
('76359', '29.00'),
('46765', '11.00'),
('30233', '30.00'),
('84330', '10.00'),
('86741', '5.00'),
('51781', '36.00'),
('76956', '7.00'),
('13862', '44.00'),
('13121', '6.00'),
('48235', '3.00'),
('93488', '4.00'),
('65482', '49.00'),
('38469', '33.00'),
('33934', '5.00'),
('84514', '7.00'),
('59134', '16.00'),
('91930', '32.00'),
('10229', '27.00'),
('75815', '19.00'),
('50223', '34.00'),
('39949', '44.00'),
('63179', '23.00'),
('31980', '46.00'),
('36521', '46.00'),
('96089', '44.00'),
('65013', '38.00'),
('15524', '23.00'),
('27655', '37.00'),
('31698', '9.00'),
('47654', '39.00'),
('27164', '47.00'),
('64621', '32.00'),
('23009', '13.00'),
('86544', '44.00'),
('18986', '1.00'),
('42196', '31.00'),
('76194', '40.00'),
('36757', '25.00'),
('39263', '25.00'),
('81870', '7.00'),
('90692', '34.00'),
('77077', '32.00'),
('29605', '9.00'),
('24066', '48.00'),
('23358', '13.00'),
('98374', '32.00'),
('64686', '37.00'),
('45552', '36.00'),
('35038', '1.00'),
('72490', '35.00'),
('24644', '39.00'),
('89177', '19.00'),
('27348', '20.00'),
('44477', '20.00'),
('71601', '49.00'),
('69944', '39.00'),
('69826', '43.00'),
('67696', '30.00'),
('89863', '43.00'),
('48536', '32.00'),
('87673', '2.00'),
('80120', '4.00'),
('41371', '42.00'),
('36357', '4.00'),
('37374', '23.00'),
('44309', '6.00'),
('45628', '10.00'),
('69260', '11.00'),
('61899', '49.00'),
('90520', '17.00'),
('50321', '36.00'),
('86275', '5.00'),
('82531', '17.00'),
('81378', '16.00'),
('87280', '31.00'),
('42948', '7.00'),
('97284', '26.00'),
('76239', '34.00'),
('13954', '21.00'),
('57503', '10.00'),
('81267', '4.00'),
('17842', '8.00'),
('23080', '38.00'),
('69398', '11.00'),
('94169', '35.00'),
('56575', '11.00'),
('95708', '20.00'),
('12477', '1.00'),
('24153', '42.00'),
('34142', '12.00'),
('87913', '29.00'),
('97462', '7.00'),
('35695', '29.00'),
('36641', '45.00'),
('18759', '10.00'),
('93254', '30.00'),
('31321', '13.00'),
('35320', '8.00'),
('68845', '38.00'),
('80598', '47.00'),
('23788', '18.00'),
('34132', '44.00'),
('74245', '49.00'),
('31414', '43.00'),
('27145', '9.00'),
('64838', '18.00'),
('13292', '40.00'),
('31146', '32.00'),
('62661', '27.00'),
('63117', '44.00'),
('16875', '3.00'),
('27058', '40.00'),
('35388', '10.00'),
('72732', '13.00'),
('63192', '46.00'),
('11985', '47.00'),
('24417', '27.00'),
('64532', '45.00'),
('74188', '19.00'),
('99404', '46.00'),
('43247', '5.00'),
('78185', '18.00'),
('76620', '45.00'),
('72075', '24.00'),
('69825', '2.00'),
('31298', '16.00'),
('42806', '5.00'),
('50483', '25.00'),
('93425', '31.00'),
('17760', '38.00'),
('36094', '42.00'),
('68263', '48.00'),
('91567', '1.00'),
('50176', '27.00'),
('56444', '29.00'),
('45166', '31.00'),
('45076', '22.00'),
('28803', '26.00'),
('20052', '37.00'),
('49561', '41.00'),
('59571', '30.00'),
('36136', '37.00'),
('95242', '23.00'),
('38390', '30.00'),
('79421', '36.00'),
('33322', '49.00'),
('90225', '33.00'),
('77471', '30.00'),
('25254', '16.00'), ('67945', '14.00'),
('76773', '33.00'),
('81582', '46.00'),
('67569', '19.00'),
('16219', '10.00'),
('33195', '40.00'),
('93989', '8.00'),
('77810', '50.00'),
('98912', '3.00'),
('77658', '28.00'),
('96451', '29.00'),
('72372', '30.00'),
('91468', '38.00'),
('13318', '32.00'),
('37472', '44.00'),
('49137', '11.00'),
('91356', '17.00'),
('11104', '16.00'),
('13117', '47.00'),
('39537', '7.00'),
('55755', '48.00'),
('43010', '41.00'),
('36714', '3.00'),
('40261', '11.00'),
('37891', '36.00'),
('17953', '16.00'),
('34406', '38.00'),
('96178', '34.00'),
('10434', '20.00'),
('33903', '3.00'),
('84798', '39.00'),
('76772', '49.00'),
('55509', '27.00'),
('15097', '37.00'),
('48667', '16.00'),
('16895', '36.00'),
('71064', '41.00'),
('63435', '35.00'),
('92844', '6.00'),
('89736', '25.00'),
('46685', '27.00'),
('28617', '14.00'),
('41093', '6.00'),
('69918', '11.00'),
('26903', '44.00'),
('41711', '44.00'),
('19144', '25.00'),
('60121', '10.00'),
('58661', '19.00'),
('55383', '30.00'),
('36830', '9.00'),
('65052', '46.00'),
('60361', '36.00'),
('76805', '40.00'),
('80830', '40.00'),
('69043', '27.00'),
('85874', '22.00'),
('25503', '15.00'),
('76765', '34.00'),
('31546', '1.00'),
('82452', '29.00'),
('79920', '15.00'),
('80638', '13.00'),
('79661', '33.00'),
('11456', '5.00'),
('69562', '29.00'),
('43706', '10.00'),
('56731', '45.00'),
('44533', '17.00'),
('55157', '47.00'),
('31250', '43.00'),
('86612', '25.00'),
('74415', '21.00'),
('40880', '23.00'),
('80117', '23.00'),
('73405', '13.00'),
('51305', '42.00'),
('56700', '27.00'),
('77897', '38.00'),
('62047', '13.00'),
('84032', '36.00'),
('50364', '19.00'),
('65273', '32.00'),
('50116', '17.00'),
('32145', '11.00'),
('77348', '33.00'),
('73454', '30.00'),
('59006', '22.00'),
('31005', '27.00'),
('16024', '17.00'),
('75748', '44.00'),
('80940', '9.00'),
('86513', '26.00'),
('76241', '11.00'),
('43041', '38.00'),
('17200', '18.00'),
('83501', '28.00'),
('89948', '5.00'),
('63831', '15.00'),
('11306', '49.00'),
('62621', '13.00'),
('46408', '44.00'),
('79734', '10.00'),
('57485', '13.00'),
('74669', '37.00'),
('87484', '27.00'),
('52058', '18.00'),
('10930', '9.00'),
('48469', '46.00'),
('55720', '39.00'),
('73620', '49.00'),
('70543', '45.00'),
('28511', '14.00'),
('55908', '24.00'),
('68461', '36.00'),
('76402', '14.00'),
('37455', '31.00'),
('50885', '49.00'),
('60488', '33.00'),
('90440', '37.00'),
('69708', '21.00'),
('36963', '7.00'),
('29560', '4.00'),
('16836', '12.00'),
('55990', '40.00'),
('64777', '26.00'),
('44405', '28.00'),
('39875', '9.00'),
('84883', '41.00'),
('98155', '39.00'),
('68799', '48.00'),
('31557', '11.00'),
('32601', '26.00'),
('43587', '46.00'),
('60226', '22.00'),
('82293', '19.00'),
('30196', '2.00'),
('86424', '26.00'),
('85684', '6.00'),
('30225', '48.00'),
('75443', '22.00'),
('55164', '47.00'),
('34443', '38.00'),
('40078', '27.00'),
('92685', '36.00'),
('61891', '34.00'),
('17896', '34.00'),
('56047', '12.00'),
('23347', '27.00'),
('39592', '30.00'),
('58439', '19.00'),
('74979', '2.00'),
('20567', '10.00'),
('44019', '5.00'),
('81544', '5.00'),
('11340', '21.00'),
('69790', '35.00'),
('28713', '16.00'),
('63301', '22.00'),
('12707', '43.00'),
('18220', '18.00'),
('43809', '17.00'),
('67023', '38.00'),
('43047', '14.00'),
('60402', '39.00'),
('69123', '25.00'),
('93985', '10.00'),
('28425', '37.00'),
('23721', '50.00'),
('10507', '46.00'),
('65026', '43.00'),
('50105', '38.00'),
('39867', '12.00'),
('48634', '28.00'),
('88776', '17.00'),
('19095', '48.00'),
('82524', '22.00'),
('82185', '33.00'),
('58845', '38.00'),
('41414', '35.00'),
('59164', '26.00'),
('30778', '42.00'),
('23723', '46.00'),
('92372', '47.00'),
('70293', '23.00'),
('17235', '20.00'),
('25311', '31.00'),
('18887', '24.00'),
('73192', '6.00'),
('68975', '25.00'),
('48127', '8.00'),
('14190', '11.00'),
('72630', '39.00'),
('86336', '40.00'),
('38416', '7.00'),
('40888', '37.00'),
('66067', '14.00'),
('87003', '42.00'),
('41576', '31.00'),
('57943', '35.00'),
('88856', '20.00'),
('83763', '43.00'),
('26724', '6.00'),
('47565', '11.00'),
('68679', '9.00'),
('56381', '36.00'),
('78504', '37.00'),
('92992', '20.00'),
('83660', '47.00'),
('81189', '15.00'),
('73776', '19.00'),
('87252', '9.00'),
('71778', '36.00'),
('25215', '27.00'),
('98047', '20.00'),
('90357', '22.00'),
('62747', '29.00'),
('94095', '13.00'),
('42173', '12.00'),
('73194', '4.00'),
('24794', '22.00'),
('33292', '39.00'),
('65906', '5.00'),
('31929', '34.00'),
('30077', '19.00'),
('22969', '4.00'),
('72579', '28.00'),
('92172', '15.00'),
('56302', '50.00'),
('62120', '49.00'),
('68913', '25.00'),
('20910', '17.00'),
('74820', '20.00'),
('24062', '17.00'),
('44338', '44.00'),
('70853', '8.00'),
('21342', '49.00'),
('38190', '40.00'),
('82943', '22.00'),
('16381', '43.00'),
('92682', '42.00'),
('66745', '49.00'),
('86754', '44.00'),
('87874', '48.00'),
('27519', '18.00'),
('58168', '16.00'),
('72628', '38.00'),
('43627', '24.00'),
('99139', '29.00'),
('27065', '16.00'),
('31163', '4.00'),
('17139', '3.00'),
('56369', '18.00'),
('71680', '15.00'),
('98532', '44.00'),
('73678', '25.00'),
('67600', '1.00'),
('96122', '14.00'),
('67144', '4.00'),
('73647', '28.00'),
('94140', '22.00'),
('48079', '49.00'),
('66727', '13.00'),
('64158', '25.00'),
('74272', '24.00'),
('88669', '34.00'),
('34791', '47.00'),
('13751', '36.00'),
